source_table,source_column,target_table,target_column,transformation_type,transformation_logic
,,gold_table,pk_gold_id,surrogate_key,Auto-generated sequential surrogate primary key starting from 1
products_silver,pk_products_silver_id,gold_table,pk_products_silver_id,passthrough,Direct copy from Silver
products_silver,product_id,gold_table,product_id,passthrough,Direct copy from Silver
products_silver,product_name,gold_table,product_name,passthrough,Direct copy from Silver
products_silver,category,gold_table,category,passthrough,Direct copy from Silver
products_silver,standard_price,gold_table,standard_price,passthrough,Direct copy from Silver
products_silver,_load_timestamp,gold_table,_load_timestamp,passthrough,Direct copy from Silver
products_silver,_source_file,gold_table,_source_file,passthrough,Direct copy from Silver
sales_data_silver,pk_sales_data_silver_id,gold_table,pk_sales_data_silver_id,passthrough,Direct copy from Silver
sales_data_silver,transaction_id,gold_table,transaction_id,passthrough,Direct copy from Silver
sales_data_silver,transaction_date,gold_table,transaction_date,passthrough,Direct copy from Silver
sales_data_silver,store_id,gold_table,store_id,passthrough,Direct copy from Silver
sales_data_silver,product_id,gold_table,product_id,passthrough,Direct copy from Silver
sales_data_silver,product_name,gold_table,product_name,passthrough,Direct copy from Silver
sales_data_silver,category,gold_table,category,passthrough,Direct copy from Silver
sales_data_silver,quantity,gold_table,quantity,passthrough,Direct copy from Silver
sales_data_silver,unit_price,gold_table,unit_price,passthrough,Direct copy from Silver
sales_data_silver,total_amount,gold_table,total_amount,passthrough,Direct copy from Silver
sales_data_silver,customer_segment,gold_table,customer_segment,passthrough,Direct copy from Silver
sales_data_silver,payment_method,gold_table,payment_method,passthrough,Direct copy from Silver
sales_data_silver,_load_timestamp,gold_table,_load_timestamp,passthrough,Direct copy from Silver
sales_data_silver,_source_file,gold_table,_source_file,passthrough,Direct copy from Silver
stores_silver,pk_stores_silver_id,gold_table,pk_stores_silver_id,passthrough,Direct copy from Silver
stores_silver,store_id,gold_table,store_id,passthrough,Direct copy from Silver
stores_silver,store_name,gold_table,store_name,passthrough,Direct copy from Silver
stores_silver,region,gold_table,region,passthrough,Direct copy from Silver
stores_silver,city,gold_table,city,passthrough,Direct copy from Silver
stores_silver,state,gold_table,state,passthrough,Direct copy from Silver
stores_silver,_load_timestamp,gold_table,_load_timestamp,passthrough,Direct copy from Silver
stores_silver,_source_file,gold_table,_source_file,passthrough,Direct copy from Silver
