source_table,source_column,target_table,target_column,transformation_type,transformation_logic
products_bronze,,products_silver,pk_products_silver_id,surrogate_key,Auto-generated sequential surrogate primary key starting from 1
products_bronze,product_id,products_silver,product_id,type_cast,
products_bronze,product_name,products_silver,product_name,fill_null,Fill with mode
products_bronze,product_price,products_silver,product_price,fill_null,Fill with mean
products_bronze,product_category,products_silver,product_category,fill_null,Fill with mode
sales_data_bronze,,sales_data_silver,pk_sales_data_silver_id,surrogate_key,Auto-generated sequential surrogate primary key starting from 1
sales_data_bronze,sales_id,sales_data_silver,sales_id,type_cast,
sales_data_bronze,sales_date,sales_data_silver,sales_date,date_format,YYYY-MM-DD
sales_data_bronze,sales_amount,sales_data_silver,sales_amount,fill_null,Fill with mean
sales_data_bronze,store_id,sales_data_silver,store_id,type_cast,
sales_data_bronze,product_id,sales_data_silver,product_id,type_cast,
stores_bronze,,stores_silver,pk_stores_silver_id,surrogate_key,Auto-generated sequential surrogate primary key starting from 1
stores_bronze,store_id,stores_silver,store_id,type_cast,
stores_bronze,store_name,stores_silver,store_name,fill_null,Fill with mode
stores_bronze,store_address,stores_silver,store_address,fill_null,Fill with mode
stores_bronze,store_city,stores_silver,store_city,fill_null,Fill with mode
stores_bronze,store_state,stores_silver,store_state,fill_null,Fill with mode
stores_bronze,store_zip,stores_silver,store_zip,fill_null,Fill with mode
products_bronze,,products_silver,dedup_products_silver,dedup,Drop fully duplicate rows
sales_data_bronze,,sales_data_silver,dedup_sales_data_silver,dedup,Drop fully duplicate rows
stores_bronze,,stores_silver,dedup_stores_silver,dedup,Drop fully duplicate rows
